command,mean,stddev,median,user,system,min,max,parameter_lang,parameter_mode,parameter_node,parameter_size
"./nexus cp 3 '""../test-data-140MB.txt""'",1.00180085024,0.003694916509767294,0.9996871282400001,0.0012097999999999998,0.000653604,0.9992438737400001,1.00860835974,morloc,cp,3,14
"./nexus cp 3 '""../test-data-150MB.txt""'",1.06757899194,0.0028699612325186834,1.06734880524,0.0017668,0.000150268,1.06451797274,1.07362540074,morloc,cp,3,15
"./nexus cp 3 '""../test-data-160MB.txt""'",1.13763913554,0.0029147679023435622,1.13758875674,0.0011825,0.0007147039999999999,1.13388722574,1.1436299807399999,morloc,cp,3,16
"./nexus cc 3 '""../test-data-00MB.txt""'",0.005011438641234567,0.000503496303877987,0.00495682224,0.0006761139917695469,0.000137835390946502,0.00439658474,0.01215546774,morloc,cc,3,0
"./nexus cc 3 '""../test-data-10MB.txt""'",0.025003624610689675,0.0008603456562786291,0.024792387240000005,0.0011953155172413795,0.0003748013793103449,0.02336646574,0.026885210740000002,morloc,cc,3,1
"./nexus cc 3 '""../test-data-20MB.txt""'",0.0422501300235821,0.0011124096309958111,0.04210207374,0.0010549014925373133,0.0005381253731343283,0.04026333874,0.04806492674,morloc,cc,3,2
"./nexus cc 3 '""../test-data-30MB.txt""'",0.05819145498000001,0.0013768423800263386,0.05776613674,0.0012018799999999996,0.0003401159999999999,0.05609821474,0.06527520374,morloc,cc,3,3
"./nexus cc 3 '""../test-data-40MB.txt""'",0.07601636830410258,0.0013066320388398676,0.07589174674,0.0011831102564102563,0.00037814358974358974,0.07392405874,0.07852258074,morloc,cc,3,4
"./nexus cc 3 '""../test-data-50MB.txt""'",0.09236915495875,0.0013482606272262174,0.09218735824,0.001094590625,0.00050601375,0.08980132474000001,0.09522568274,morloc,cc,3,5
"./nexus cc 3 '""../test-data-60MB.txt""'",0.10879486431692312,0.0014244669043575902,0.10867899624,0.0012830576923076923,0.0004133676923076923,0.10608145374,0.11161964174,morloc,cc,3,6
"./nexus cc 3 '""../test-data-70MB.txt""'",0.12518784739217392,0.0016312918463246406,0.12499034174,0.0013170826086956518,0.0005180173913043477,0.12155192074,0.12784202174,morloc,cc,3,7
"./nexus cc 3 '""../test-data-80MB.txt""'",0.14080655694,0.0021247894595909497,0.14045604774000003,0.0013133549999999998,0.00046898600000000007,0.13646420974,0.14648493574000002,morloc,cc,3,8
"./nexus cc 3 '""../test-data-90MB.txt""'",0.1575261214066667,0.0023410356145765416,0.15787831824000004,0.0012314555555555553,0.0004747066666666666,0.15427622174000002,0.16266886674000003,morloc,cc,3,9
"./nexus cc 3 '""../test-data-100MB.txt""'",0.17311389774000002,0.0014260059330429256,0.17293612974000003,0.0010929647058823527,0.0006212094117647058,0.17041710474000002,0.17560486774000003,morloc,cc,3,10
"./nexus cc 3 '""../test-data-110MB.txt""'",0.18849901167333336,0.002222150989643156,0.18887453374000002,0.0014825066666666665,0.00023377866666666667,0.18485033974000004,0.19206989574000002,morloc,cc,3,11
"./nexus cc 3 '""../test-data-120MB.txt""'",0.2064951055861539,0.003069632349852717,0.20558765474000001,0.0012993615384615383,0.0004883753846153847,0.20269015674000002,0.21518641674000002,morloc,cc,3,12
"./nexus cc 3 '""../test-data-130MB.txt""'",0.22089023127846158,0.0016549927323482238,0.22126386474000004,0.0015915923076923076,0.00027933538461538454,0.21712967774000003,0.22340508574000004,morloc,cc,3,13
