command,mean,stddev,median,user,system,min,max,parameter_lang,parameter_mode,parameter_node,parameter_size
"./nexus cr 1 '""../test-data-00MB.txt""'",0.2326744803966667,0.0012388479803379258,0.23262498698,0.0014945333333333333,0.0006470416666666665,0.23131897998,0.23472078598,morloc,cr,1,0
"./nexus cr 2 '""../test-data-00MB.txt""'",0.23610708089666665,0.0008980128401038331,0.23610376698000002,0.0018643083333333332,0.0004743666666666667,0.23445120698000002,0.23734743698000002,morloc,cr,2,0
"./nexus cr 4 '""../test-data-00MB.txt""'",0.2391251383133334,0.0011369552402698065,0.23909884248000002,0.0012505333333333332,0.0009623999999999999,0.23749654898000003,0.24098954498000003,morloc,cr,4,0
"./nexus cr 8 '""../test-data-00MB.txt""'",0.24738023098000003,0.0025730412706850172,0.24657016048000002,0.0010564666666666666,0.0012752333333333331,0.24525418398,0.25408976898,morloc,cr,8,0
"./nexus cr 16 '""../test-data-00MB.txt""'",0.2604250103436364,0.0008002481438602938,0.26024542198,0.001629881818181818,0.0005247636363636363,0.25934237098,0.26247403698,morloc,cr,16,0
"./nexus cr 32 '""../test-data-00MB.txt""'",0.28834998398,0.0009544569649870184,0.28833811598000003,0.001193,0.0010888699999999998,0.28669705998,0.28985693598,morloc,cr,32,0
"./nexus cr 64 '""../test-data-00MB.txt""'",0.34506282388000004,0.001474954211611514,0.34479196898000003,0.0015082299999999997,0.0007769399999999999,0.34254739598,0.34764927998,morloc,cr,64,0
"./nexus cr 128 '""../test-data-00MB.txt""'",0.46940911608,0.017718515527547763,0.46392893398,0.0014451300000000002,0.00086035,0.46247795498000005,0.5197161269800001,morloc,cr,128,0
"./nexus cr 256 '""../test-data-00MB.txt""'",0.7153566750800001,0.005190515629440686,0.71409023248,0.00105183,0.0012327599999999998,0.7107822279800001,0.72690199998,morloc,cr,256,0
"./nexus cr 512 '""../test-data-00MB.txt""'",1.39835304728,0.008250843060073627,1.39620874798,0.0018007000000000001,0.0004257299999999999,1.38638122198,1.41582057098,morloc,cr,512,0
"./nexus cr 1024 '""../test-data-00MB.txt""'",2.79386109288,0.009165902731579053,2.7917483269799996,0.0018175,0.00045535000000000004,2.78195815998,2.81255158998,morloc,cr,1024,0
