command,mean,stddev,median,user,system,min,max,parameter_lang,parameter_mode,parameter_node,parameter_size
"./nexus pr 4 '""../test-data-80MB.txt""'",1.3472257813,0.025900102792820373,1.3367684677999998,0.0016149280000000003,0.001353056,1.3267238498,1.3961879618,morloc,pr,4,8
"./nexus pr 4 '""../test-data-90MB.txt""'",1.4351348816,0.019477929828737254,1.4293450988,0.002369828,0.0006808239999999999,1.4172239758,1.4863525348,morloc,pr,4,9
"./nexus pr 5 '""../test-data-00MB.txt""'",0.28237536754,0.02218906838373617,0.28498723424,0.0024228200000000004,0.0006243900000000001,0.25162865324,0.31250818924,morloc,pr,5,0
"./nexus pr 6 '""../test-data-00MB.txt""'",0.28348516605818175,0.015436898531664441,0.28700138124,0.001814629090909091,0.0008585363636363637,0.25372490323999997,0.30150192624,morloc,pr,6,0
"./nexus pr 7 '""../test-data-00MB.txt""'",0.28709971993999994,0.02414987171840685,0.28953568574,0.001665248,0.001599186,0.25596776924,0.33339507824,morloc,pr,7,0
"./nexus pr 8 '""../test-data-00MB.txt""'",0.29128847743999997,0.01232897310978321,0.29328629924,0.00190642,0.001053586,0.25833183524,0.30544668524,morloc,pr,8,0
"./nexus pr 9 '""../test-data-00MB.txt""'",0.29177020660363634,0.02781596786697127,0.29452822623999997,0.0014295636363636365,0.0021458909090909086,0.26273046524,0.34118980724,morloc,pr,9,0
"./nexus rc 0 '""../test-data-00MB.txt""'",0.30336039614,0.008300791568895577,0.30117794724,0.0018543199999999996,0.0015134839999999998,0.29698753324,0.32580745324,morloc,rc,0,0
"./nexus rc 1 '""../test-data-00MB.txt""'",0.29949521874000007,0.002830540814524087,0.29883450623999996,0.0021860199999999995,0.00073469,0.29509010324,0.30382114324,morloc,rc,1,0
"./nexus rc 10 '""../test-data-00MB.txt""'",0.30860728994,0.010138255360554451,0.30482488874,0.0016956479999999997,0.0018216839999999998,0.29916372024,0.33307185924,morloc,rc,10,0
"./nexus rc 11 '""../test-data-00MB.txt""'",0.30678460234,0.010169620841882885,0.30403112724000003,0.0019007199999999994,0.001436888,0.30020654124,0.33528078124,morloc,rc,11,0
"./nexus rc 12 '""../test-data-00MB.txt""'",0.31111118684,0.010829188386064358,0.30726443874,0.002278676,0.001304288,0.30030472624,0.33570878224,morloc,rc,12,0
"./nexus rc 13 '""../test-data-00MB.txt""'",0.30708690064,0.0043474658211101955,0.30578652224,0.00226932,0.0010563859999999999,0.30253492024,0.31472449724,morloc,rc,13,0
"./nexus rc 14 '""../test-data-00MB.txt""'",0.30928136153999997,0.010471048382591028,0.30566609774,0.001974648,0.001413386,0.30081322624,0.33750277724,morloc,rc,14,0
"./nexus rc 15 '""../test-data-00MB.txt""'",0.30776286803999997,0.004441054061822229,0.30689652424,0.001587348,0.002110286,0.30221874924,0.31642570824,morloc,rc,15,0
"./nexus rc 16 '""../test-data-00MB.txt""'",0.31308966703999996,0.013798030904923127,0.30787944974000003,0.0025206200000000003,0.001207788,0.30386291424,0.34057348524,morloc,rc,16,0
"./nexus rc 2 '""../test-data-00MB.txt""'",0.30062283513999993,0.0031279889046279337,0.30181786824,0.001860276,0.00144069,0.29611952024,0.30452780124,morloc,rc,2,0
"./nexus rc 3 '""../test-data-00MB.txt""'",0.30111912944,0.0017576702526250737,0.30037398874,0.00233672,0.000896188,0.29937012124,0.30445664824,morloc,rc,3,0
"./nexus rc 4 '""../test-data-00MB.txt""'",0.30116668094,0.0028284712527926552,0.30046115874,0.001573732,0.001833888,0.29728565424,0.30529746024,morloc,rc,4,0
"./nexus rc 4 '""../test-data-00MB.txt""'",0.3287428739,0.013798034171635226,0.3229682663,0.00208662,0.000860832,0.3171840568,0.3549078798,morloc,rc,4,0
"./nexus rc 4 '""../test-data-100MB.txt""'",1.6191537765,0.04513307869105785,1.6427225543000001,0.00209802,0.00071444,1.5632220157999999,1.6639272928,morloc,rc,4,10
"./nexus rc 4 '""../test-data-10MB.txt""'",0.4759332533,0.018526799754379177,0.4761671183,0.000557752,0.00868858,0.4513519868,0.49980254780000005,morloc,rc,4,1
"./nexus rc 4 '""../test-data-110MB.txt""'",1.7145027387000003,0.040773477299307935,1.6967434687999998,0.002024928,0.0006919319999999999,1.6664656057999998,1.7745764698,morloc,rc,4,11
"./nexus rc 4 '""../test-data-120MB.txt""'",1.8119595115999996,0.036833323876771414,1.7961248568000001,0.0015999279999999998,0.001086648,1.7834106108,1.8796760048,morloc,rc,4,12
"./nexus rc 4 '""../test-data-130MB.txt""'",1.9075992429,0.007431842668888107,1.9086607378,0.001805428,0.000790532,1.8975628508,1.9223229838,morloc,rc,4,13
"./nexus rc 4 '""../test-data-140MB.txt""'",2.0377326926,0.025529787842302195,2.0321363958000003,0.0011655279999999999,0.0015953719999999998,2.0182951478,2.1083384238000002,morloc,rc,4,14
"./nexus rc 4 '""../test-data-150MB.txt""'",2.1494165496,0.025058785009933825,2.1437023338000003,0.0020655279999999996,0.000558224,2.1268025938000004,2.2186124918,morloc,rc,4,15
"./nexus rc 4 '""../test-data-160MB.txt""'",2.263388704,0.004010678356636078,2.2641261083,0.0014716359999999997,0.00119794,2.2555588308,2.2685980418000002,morloc,rc,4,16
"./nexus rc 4 '""../test-data-20MB.txt""'",0.6603310893000002,0.0131281574305583,0.6614145903000002,0.00031046,0.01523628,0.6383118688000001,0.6810265738000001,morloc,rc,4,2
"./nexus rc 4 '""../test-data-30MB.txt""'",0.7819858452000001,0.011030822492782715,0.7842678343,0.000411044,0.02033318,0.7659306778000001,0.8021058788000001,morloc,rc,4,3
"./nexus rc 4 '""../test-data-40MB.txt""'",0.8744822016,0.04808880798960998,0.8471281883000001,0.0010518199999999998,0.021841872000000002,0.8177460958000001,0.9493395038000001,morloc,rc,4,4
"./nexus rc 4 '""../test-data-50MB.txt""'",0.9567799952000001,0.007033512723172002,0.9550100108000001,0.00198242,0.000413624,0.9498595028000001,0.9743327028000001,morloc,rc,4,5
"./nexus rc 4 '""../test-data-60MB.txt""'",1.0881988506,0.023522229650732168,1.0817110383,0.001171028,0.001539664,1.0737032998,1.1532490927999999,morloc,rc,4,6
"./nexus rc 4 '""../test-data-70MB.txt""'",1.2171643022,0.007113218040327847,1.2171630657999999,0.00133852,0.0012740639999999997,1.2031717198,1.2245378918,morloc,rc,4,7
"./nexus rc 4 '""../test-data-80MB.txt""'",1.352421342,0.03681575719848503,1.3369016333,0.0016970279999999997,0.000947156,1.3255629718,1.4237153838,morloc,rc,4,8
"./nexus rc 4 '""../test-data-90MB.txt""'",1.4832607625999998,0.04556691917102767,1.4610107703,0.001735328,0.00098314,1.4450407187999998,1.5603018848,morloc,rc,4,9
"./nexus rc 5 '""../test-data-00MB.txt""'",0.30229450244,0.0027820878566277274,0.30128151374,0.0017221039999999997,0.0019114879999999998,0.30003349324,0.30942568124,morloc,rc,5,0
"./nexus rc 6 '""../test-data-00MB.txt""'",0.30481066144,0.004258067475868649,0.30379480024,0.002486348,0.0009853940000000001,0.29944045524,0.31424449024,morloc,rc,6,0
"./nexus rc 7 '""../test-data-00MB.txt""'",0.30386487444,0.004870577614602612,0.30265450573999997,0.001678348,0.0015574879999999999,0.29770004624,0.31483172723999997,morloc,rc,7,0
"./nexus rc 8 '""../test-data-00MB.txt""'",0.30707880873999993,0.008443422551753631,0.30484035373999996,0.00242662,0.00113909,0.30097703923999997,0.32936381323999997,morloc,rc,8,0
"./nexus rc 9 '""../test-data-00MB.txt""'",0.30310743764000003,0.0017626561141900017,0.30352454474,0.001886848,0.0013914880000000002,0.30011047824,0.30539927124,morloc,rc,9,0
"./nexus rp 0 '""../test-data-00MB.txt""'",0.29739281964,0.002318578026094742,0.29674248173999995,0.0022859199999999994,0.0005313939999999999,0.29427014424,0.30100640124,morloc,rp,0,0
"./nexus rp 1 '""../test-data-00MB.txt""'",0.30082520853999994,0.008055793777868555,0.29889851424,0.0021637480000000005,0.001431388,0.29480525324,0.32216323424,morloc,rp,1,0
"./nexus rp 10 '""../test-data-00MB.txt""'",0.30548719994,0.009936189514337399,0.30276761824,0.00233652,0.001341986,0.29783653724,0.33289819024,morloc,rp,10,0
"./nexus rp 11 '""../test-data-00MB.txt""'",0.30905497194,0.013764269325473566,0.30311147074,0.00295292,0.0006419920000000001,0.30022413224,0.33960871924,morloc,rp,11,0
"./nexus rp 12 '""../test-data-00MB.txt""'",0.31051146144,0.014555988926326898,0.30459967824,0.002353976,0.0016949880000000001,0.29962057024,0.34005390224,morloc,rp,12,0
"./nexus rp 13 '""../test-data-00MB.txt""'",0.30315922534,0.0018593546567617595,0.30345208974000004,0.0023668479999999995,0.001013092,0.29915849024,0.30526088924,morloc,rp,13,0
"./nexus rp 14 '""../test-data-00MB.txt""'",0.30694641814,0.006619033332852227,0.30529597024,0.0027257199999999996,0.00082139,0.29879939424,0.32288768823999997,morloc,rp,14,0
"./nexus rp 15 '""../test-data-00MB.txt""'",0.31302525664,0.016665861952356895,0.30590048924,0.00239622,0.0014129899999999998,0.29846612924,0.34032926924,morloc,rp,15,0
"./nexus rp 16 '""../test-data-00MB.txt""'",0.31382444364,0.011280734602300052,0.30957889724,0.0019424479999999998,0.0023136840000000003,0.30342015124,0.33531008623999997,morloc,rp,16,0
"./nexus rp 2 '""../test-data-00MB.txt""'",0.29952340114,0.0045187630957408435,0.29851610474,0.00242532,0.0009701899999999999,0.29445505424,0.30875716424,morloc,rp,2,0
